,Name,Album,Artist,mood
0,Dynamite,Dynamite (DayTime Version),BTS,Happy
1,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,Happy
2,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,Happy
3,Perfect,÷ (Deluxe),Ed Sheeran,Happy
4,GIRL LIKE ME,GIRL LIKE ME,Black Eyed Peas,Happy
5,We Need Love - Cabu Remix,We Need Love (Cabu Remix),Cabu,Happy
6,Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson,Happy
7,Sugar,V (Deluxe),Maroon 5,Happy
8,Useless,Useless,Two Friends,Happy
9,Roar,PRISM (Deluxe),Katy Perry,Happy
10,The Lazy Song,Doo-Wops & Hooligans,Bruno Mars,Happy
11,Thinking out Loud,x (Deluxe Edition),Ed Sheeran,Happy
12,Uptown Funk (feat. Bruno Mars),damn i love the rain,Gabriella Zauna,Happy
